logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:facility:laboratory.isu_ae,Iowa State University Department of Aerospace Engineering,Iowa State University Department of Aerospace Engineering,"           The Iowa State University Department of Aerospace Engineering loacted in Ames, IA houses            labs associated with aeolian processes, including boundary layer wind tunnels and vortex           generators.         ",isu_ae,
urn:nasa:pds:context:facility:laboratory.ksu-hpwel,"The High Plains Wind Erosion Laboratory, Kansas State University, Manhattan, KS","The High Plains Wind Erosion Laboratory, Kansas State University, Manhattan, KS","             Historical facility located at Kansas State University in Manhattan, KS. Home to wind tunnels used for wind erosion studies             pertaining to the Great Dust Bowl of the early 20th Century in the Central U.S. W.S. Chepil and others pioneered work involving              wind tunnel determination particle threshold for wind erosion at this facility.         ",,
urn:nasa:pds:context:facility:laboratory.kuleuven-leg,"Laboratory of Experimental Geomorphology, Catholic University of Leuven, Belgium","Laboratory of Experimental Geomorphology, Catholic University of Leuven, Belgium","             Laboratory of Experimental Geomorpholgy located (before 1981-2003) at Catholic University of Leuven (Katholieke Universiteit - KU Leuven),              Belgium. Most likely subsumed by the Department of Earth and Environmental Sciences, Geography and Tourism Division.          ",,
urn:nasa:pds:context:facility:laboratory.lasp,Laboratory for Atmospheric and Space Physics,Laboratory for Atmospheric and Space Physics,"             University of Colorado Laboratory for Atmospheric and Space Physics (CU LASP, located in Boulder, CO).               Our measurements were made in Dr. Greg Holsclaw's lab. https://lasp.colorado.edu/         ",,
urn:nasa:pds:context:facility:laboratory.odu-ftir,Old Dominion University Fourier Transform Infrared Spectrometer Laboratory,Old Dominion University Fourier Transform Spectrometer Laboratory,"             Old Dominion University Fourier Transform Spectrometer Laboratory, under the direction of Dr. Peter Bernath, focuses on molecular spectroscopy and atmospheric remote sensing applications.             The laboratory uses a Bruker FTS 120/125HR Fourier transform spectrometer to assess pure and gas-broadened samples of hydrocarbon compounds useful in comparing to atmospheric chemistry             of Jupiter, Saturn, Saturn's moon Titan, and exoplanets. The spectrometer currently used is Bruker IFS 120HR hardware (“bench”) with Bruker IFS 125HR  electronics (i.e., our 120 was              upgraded to a 125). The maximum optical path difference of the Fourier transform spectrometer is 4.2 m. We used a 20 cm long cold cell (25 C to about -50 C) with KBr windows in the sample              compartment. The cell was cooled with a recirculating chiller that used ethanol. For these measurements in the 3 micron region a CaF2 beamsplitter and liquid N2 cooled InSb detector were used.                          The laboratory is located on the campus of Old Dominion University, Department of Chemistry and Biochemsitry, Chemistry Building, 4501 Elkhorn Ave., Norfolk, Virginia, 23529, USA.          ",,
urn:nasa:pds:context:facility:laboratory.pal,Planetary Aeolian Laboratory,Planetary Aeolian Laboratory,"           The Planetary Aeolian Laboratory is located at NASA Ames Research Center, Moffett Field, CA,           and is managed by Dr. David A. Williams of the School of Earth and Space Exploration at            Arizona State University. The facility consists of the tower test facility (Bldg. N242) and            associated wind tunnels and other devices that can be used under Earth ambient pressures as           well as various lower pressure environments (including Mars analog) making use of the Ames            vacuum facility for atmospheric pump downs of the test chamber.          ",pal,
urn:nasa:pds:context:facility:laboratory.pgl,Planetary Geosciences Laboratory,Planetary Geosciences Laboratory,"             Planetary Geosciences Laboratory at the Planetary Science Institute (PGL at PSI, located in Tucson, AZ).             Our measurements were made by the spectroscopy lab technician (Neil Pearson). https://www.psi.edu/         ",,
urn:nasa:pds:context:facility:laboratory.psf,C-Tape Planetary Spectrophotometer Facility,C-Tape Planetary Spectrophotometer Facility,"             University of Winnipeg (UW) Centre for Terrestrial and Planetary Exploration (C-Tape) Planetary Spectrophotometer              Facility (PSF, located in Manitoba, Canada). Our measurements were made in Dr. Ed Cloutis' lab.              https://www.uwinnipeg.ca/c-tape/facilities/index.html         ",,
urn:nasa:pds:context:facility:laboratory.psl,DLR Planetary Spectroscopy Laboratory,DLR Planetary Spectroscopy Laboratory,"             German Aerospace Center (Deutsches Land und Raumfahrt, DLR) Planetary Spectroscopy Laboratory              (PSL, located in Berlin, Germany). Our measurements were made in Dr. Joern Helbert’s lab with guidance from the              spectroscopy lab technician (Dr. Alessandro Maturilli). https://www.dlr.de/pf/desktopdefault.aspx/tabid-17241/         ",,
urn:nasa:pds:context:facility:laboratory.qmu-wal,"Whitehead Aeronautical Laboratory, Queen Mary University of London, UK","Whitehead Aeronautical Laboratory, Queen Mary University of London, UK","             Whitehead Aeronautical Laboratory contains a large number of wind tunnels for teaching, undergraduate projects, and research activities.             A large variety of flow measurement and visulisation tools. Previoius to 1989, Queen Mary and Westfield College were separate parts of              the University of London system. Colleges were merged in 1989 under Queen Mary University of London. Wind tunnels associated with G.R.              Butterfield were associated with the departments of geography and aerospace engineering and are likely incorporated into the Whitehead              Aeronautical Laboratory.         ",,
urn:nasa:pds:context:facility:laboratory.relab,"NASA/Keck Reflectance Experiment Laboratory (RELAB), Brown University, Providence, Rhode Island, United States",NASA/Keck Reflectance Experiment Laboratory (RELAB),"             Spectroscopic data acquired in the laboratory provide the interpretive foundation              upon which compositional information about unexplored or unsampled planetary surfaces              is derived from remotely obtained reflectance spectra. The Keck/NASA Reflectance             Experiment Laboratory (RELAB, http://planetary.brown.edu/relab/) is              supported by NASA as a multi-user spectroscopy facility, and laboratory time can              be made available at no charge to investigators who are in funded NASA programs.                          RELAB has two operational spectrometers available to NASA scientists:             1) a near-ultraviolet, visible, and near-infrared bidirectional spectrometer and             2) a near- and mid- infrared FT-IR spectrometer.                          The overall purpose of the design and operation of the RELAB bidirectional              spectrometer is to obtain high precision, high spectral resolution, bidirectional              reflectance spectra of earth and planetary materials. One of the key elements of              its design is the ability to measure samples using viewing geometries specified by              the user. This allows investigators to simulate the geometry of natural observing              conditions for particulate samples as small as 50 mg.         ",,
urn:nasa:pds:context:facility:laboratory.sbu_cpex,Center for Planetary Exploration at Stony Brook University,Center for Planetary Exploration at Stony Brook University,"             The  Center for Planetary Exploration at Stony Brook University and its constituent labs offer a              range of geochemical and spectroscopic characterization capabilities and data analysis facilities              of interest to the planetary science community. These include sample preparation for multiple              types of mineral and rock spectroscopy, a planetary geochemistry lab including X-ray fluorescence              and Inductively-Coupled Plasma Optical Emission Spectrometer; a Vibrational Spectroscopy Laboratory              with mid-infrared emissivity, reflectance, and microscopy capability, visible to near infrared              reflectance capability, and confocal Raman microscopy; and an Earth and Planetary Remote Sensing              Lab with field equipment and computing resources. Contact information as of this document time of              publication: Joel Hurowitz (joel.hurowitz@stonybrook.edu) for information regarding geochemical              characterization of samples, Timothy Glotch (timothy.glotch@stonybrook.edu) or Deanne Rogers              (Deanne.rogers@stonybrook.edu) for information regarding infrared or Raman spectroscopic              characterization.            ",sbu_cpex,
urn:nasa:pds:context:facility:laboratory.sders-china,"Shapotou Desert Experimental Research Station, Institute od Desert Research, Chinese Academy","Shapotou Desert Experimental Research Station, Institute od Desert Research, Chinese Academy","             Shapotou Desert Experimental Research Station of Chinese Academy of Sciences (CAS) was founded in 1955, located in Zhongwei City              of Ningxia Hui Autonomous Regions of The People’s Republic of China, at the southeastern edge of the Tengger Desert. It was              ratified as the opening research station of CAS in 1990. It became a member of the Chinese Ecological System Research Network              (CERN) in 1992, as the National Key Field Scientific Observation Station by Ministry of Science and Technology of the People’s              Republic of China in 2000. SDERS has an area of 103.36 ha and was set up as a study of physical and biological processes in an              arid desert; desertification control and restoration ecology.         ",,
urn:nasa:pds:context:facility:laboratory.swri,Southwest Research Institute,Southwest Research Institute,"             For more than three decades, Southwest Research Institute (SwRI) has been a recognized leader in space science research as well as in the development of spacecraft              instrumentation, avionics and electronics for both government and industry. A traditional strength of the Space Science Division is the design and fabrication of instruments              for the in-situ measurement of space plasmas, the dilute ionized gases that populate the immediate space environments of the Earth and other solar system bodies as well as              interplanetary space.         ",,
urn:nasa:pds:context:facility:laboratory.ttu-ag_eng,"Texas Tech University, Department of Agricultural Engineering","Texas Tech University, Department of Agricultural Engineering","             Historically the Department of Agricultural Engineering c. 1991, at Texas Tech University, Lubbock.              **No longer a stand-alone department, Agricultural Engineering is rolled into other programs at TTU.                          Likely places to contact:             Texas Tech University Whitacre College of Engineering, Lubbock, TX             http://www.depts.ttu.edu/coe/                          or              National Wind Institute, Texas Tech University, Lubbock, TX             http://www.depts.ttu.edu/nwi/         ",,
urn:nasa:pds:context:facility:laboratory.tu-tewt,"Trent University, Trent Environmental Wind Tunnel Laboratory",Trent Environmental Wind Tunnel Laboratory,"           Located at Trent University, Peterborough, Ontario, Canada, in the School of the Environment, the Trent Environmental Wind Tunnel            Research Group is managed by Dr. Cheryl MeKenna Neuman. The lab houses the Trent Environmental Wind Tunnel (TEWT) with funds provided           by the Natural Sciences and Engineering Research Council, Canadian Foundation for Innovation (CFI) and Trent University (TU-NSRC).           In 1997, the present site was established in the current climate-controlled laboratory in the Environmental Sciences Building. The           laboratory was established with the purpose of studying fluid mechanics of aeolian transport and associated sediment erosion and            deposition, simulating processes within the atmospheric boundary layer.         ",tu-tewtrg,
urn:nasa:pds:context:facility:laboratory.ucberkeley-rfs,"University of California, Berkeley, Richmond Field Station","University of California, Berkeley, Richmond Field Station","             Environmental laboratory, operated by University of California, Berkeley, consisting of laboratory buildings, and natural             marshland located on San Francisco Bay. This facility serves as an off-site training facilitly for large-scale engineering             projects. With more than 500,000 assignable square feet of research space, the site houses the eleven floor, 7.4 million             volume storage capacity Northern Regional Library Facility, serving as an archive for lesser used books for four northern UC             campuses. The Richmond Field Station also serves as one of the world’s largest earthquake shaking tables, sophisticated test              facilities for advanced transportation research, and a regional laboratory for U.S. Environmental Protection Agency.                          The open areas of the Field Station are also prized for their research and habitat value. The site contains one of the largest              and best preserved remaining areas of native coastal grasslands that were once prevalent throughout the Bay Area. The adjacent              stands of eucalyptus provide a home for wintering monarch butterflies and nesting raptors. The bay marsh and mudflats provide              additional habitat for a variety of flora and fauna, including the endangered California Clapper Rail, as well as an opportunity              for the Berkeley campus to use these areas for teaching and research.         ",,
urn:nasa:pds:context:facility:laboratory.usda-ars-lubbock,"Wind Erosion and Water Conservation Research Unit, Cropping Systems Research Laboratory, Agricultural Research Service, 
            United States Department of Agriculture, Lubbock, TX","Wind Erosion and Water Conservation Research Unit, Cropping Systems Research Laboratory, Agricultural Research Service, 
            United States Department of Agriculture, Lubbock, TX","             United States Department of Agriculture, Agricultural Research Service, Cropping Systems Research Laboratory, Wind Erosion and             Water Conservation Research Unit, Lubbock, TX         ",,
urn:nasa:pds:context:facility:laboratory.utsa_kamc,University of Texas at San Antonio Kleberg Advanced Microscopy Center,University of Texas at San Antonio Kleberg Advanced Microscopy Center,"             The Kleberg Advanced Microscopy Center (KAMC) at the University of Texas at San Antonio is an open access facility that provides             state-of-the-art technology in electron microscopy and advanced material characterization to support world-class research in             nanotechnology, biology, chemistry, and materials sciences. The Center features world-class instrumentation, including Helenita             - the first aberration-corrected electron microscope installed in the United States that can see and chemically identify individual             atoms, a Focused Ion Beam (FIB) instrument for TEM sample preparation, and 3-D imaging and chemical mapping via serial slicing and             various SEMs. KAMC also supports analytical studies and characterization of nanoscale systems via high-resolution, multi-functional             X-ray diffraction Spectroscopy (Panalytical Empyrean), Raman Spectroscopy, as well as Atomic Force Microscopes.         ",,
urn:nasa:pds:context:facility:observatory.amos,Air Force  Maui Optical and Supercomputing Site (AMOS),Air Force  Maui Optical and Supercomputing Site (AMOS),"Updated schema version. Adding missing ""investigation"" references. Adding missing ""instrument"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:facility:observatory.apache_point,Apache Point Observatory,Apache Point Observatory,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""instrument"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:facility:observatory.arecibo,Arecibo Observatory,Arecibo Observatory,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""instrument"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:facility:observatory.asiago,Asiago Astrophysical Observatory,Asiago Astrophysical Observatory,"Updated schema version. Adding missing ""instrument"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:facility:observatory.caha-calar_alto,Centro Astronómico Hispano-Alemán,Centro Astronómico Hispano-Alemán,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",CAHA;Calar Alto;DSAZ,
urn:nasa:pds:context:facility:observatory.canberra,Canberra Deep Space Communications Complex,Canberra Deep Space Communications Complex,"             The NASA Deep Space Network (DSN) comprises three Deep Space Communications Complexes (DSCCs)             spaced by approximately 120 degrees in longitude and within about 40 degrees latitude             of Earth's equator. As the Earth rotates, this configuration provides nearly continuous              coverage of spacecraft in the ecliptic -- that is, spacecraft flying to or orbiting most              solar system objects.  The Canberra Deep Space Communications Complex (CDSCC) is one of              these three DSCCs.  The first antenna at the complex (DSS-42) became operational in 1964.               The CDSCC is managed by the Commonwealth Scientific and Industrial Research Organisation.                          The CDSCC includes several Deep Space Stations (DSSs, or antennas), a Signal Processing             Center (SPC), and administrative and support facilities.  Each DSCC handles several types of              data including: frequency and timing, tracking, telemetry, command, monitor, radio science,              and very long baseline interferometry. These data types support uplink (to spacecraft) or              downlink (from spacecraft) operations or passive reception.  Data received from spacecraft             are relayed via the local SPC to the Network Operations Control Center (NOCC) at JPL where             where they are distributed to the offices responsible for each spacecraft.  Commands,              generated in those offices, are sent via the NOCC, SPC, and DSS to the spacecraft.         ",,
urn:nasa:pds:context:facility:observatory.carbuncle_hill,Carbuncle Hill,Carbuncle Hill,"Updated schema version. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:facility:observatory.chuguevskaya,Chuguevskaya Station [121],Chuguevskaya Station,"Updated schema version. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:facility:observatory.ctio-cerro_tololo,Cerro Tololo Inter-American Observatory,Cerro Tololo Inter-American Observatory,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""instrument"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",CTIO,
