logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:telescope:canberra.dss34_34m,DSS-34 34-m Radio Telescope,,"             Deep Space Station 34 (DSS-34) was built from 1994 to 1997. The antenna is very similar in              structure to DSS-45, however the transmission and reception equipment is located underground              rather than in a cone at the focal point of the dish. The radio signal is guided from the              subreflector through a hole in the surface of the dish to the receiving equipment via a              system of reflecting mirrors inside a large tube. The reverse path allows transmission.             This design is called 'beam waveguide' (BWG); it reduces weight on the reflecting surface,             insulates electronics from environmental factors including dish movement, and simplifies              maintenance. DSS-34 can transmit up to 20 kW at 2.1 and 7.1 GHz.  It can receive right- or             left-circular polarization at 2.2, 8.4, and 26.2 GHz.  At 32.0 GHz it can receive both              polarizations simultaneously.  Antenna coordinates were converted from Table 5 in module             301 (revision L) of the DSN Telecommunications Link Design Handbook (DSN document 810-005).                           The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss35_34m,DSS-35 34-m Radio Telescope,,"             Deep Space Station 35 (DSS-35) was built from 2010 to 2014, as part of the Deep Space Network              (DSN) Aperture Enhancement Program (DAEP), coming into service on 2014-10-01. It was officially             opened on 2015-02-24. DSS-35 was the first of several new dishes being constructed throughout             the DSN to provide additional communication resources to handle the expected growth in deep              space missions being conducted by the space agencies of many nations.  The antenna is very              similar in structure to DSS-45; however, the transmission and reception equipment is located              underground rather than in a cone at the focal point of the dish. The radio signal is guided              from the subreflector through a hole in the surface of the dish to the receiving equipment via             a system of reflecting mirrors inside a large tube. The reverse path allows transmission. This             design is called 'beam waveguide' (BWG); it reduces weight on the reflecting surface, insulates             electronics from environmental factors including dish movement, and simplifies maintenance.              DSS-35 uses 'night sky cooling' to cool the transmitter. Generated heat is dissipated into              the concrete slab surrounding the antenna. At night, when the temperature is generally cooler,              the heat from the slab is released to the atmosphere.  DSS-35 can transmit up to 20 kW at              7.1 GHz; an 800 W transmitter at 34.5 GHz is planned for addition in late 2024.  DSS-35 can              receive simultaneous right- and left-circular polarization at 8.4 and 32.0 GHz.  Antenna              coordinates were converted from Table 5 in module 301 (revision L) of the DSN Telecommunications             Link Design Handbook (DSN document 810-005).                           The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss36_34m,DSS-36 34-m Radio Telescope,,"             Deep Space Station 36 (DSS-36) was built from 2012 to 2016, as part of the Deep Space Network's              Aperture Enhancement Program (DAEP), coming into service on 2016-10-01. It was              officially opened on 2016-11-03.  The antenna is very similar in structure to DSS-45;              however, the transmission and reception equipment is located underground rather than in a cone              at the focal point of the dish. The radio signal is guided from the subreflector through a hole             in the surface of the dish to the receiving equipment via a system of reflecting mirrors inside             a large tube. The reverse path allows transmission.  This design is called 'beam waveguide' (BWG);             it reduces weight on the reflecting surface, insulates electronics from environmental factors              including dish movement, and simplifies maintenance. DSS-36 can transmit up to 250 W at 2.1 GHz             and 20 kW at 7.1 GHz.  It can receive right- or  left-circular polarization at 2.2 GHz; in late             2021 it will have the same capability at 26.2 GHz.  At 8.4 and 32.0 GHz it can receive both              polarizations simultaneously.  Antenna coordinates were converted from Table 5 in module             301 (revision L) of the DSN Telecommunications Link Design Handbook (DSN document 810-005).                           The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss42_26m,DSS 42 Radio Telescope,,"             Deep Space Station 42 (DSS-42) was the first antenna built at the Tidbinbilla tracking              station site near Canberra, Australia.  It entered service in mid 1964 and was designed             to last 15 years.  Its first deep space mission support was for NASA's Mariner 4              spacecraft on its historic first flyby of Mars. Along with other dishes in the Deep              Space Network (DSN), it returned the first close up images of the surface of Mars.                          DSS-42 was originally constructed as a 26-m diameter antenna. To extend its life and              increase its capabilities, the dish was extended to 34-m in the early 1980s.                            The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss42_34m,DSS 42 34-m Radio Telescope,,"             Deep Space Station 42 (DSS-42) was the first antenna built at the Tidbinbilla tracking              station site near Canberra, Australia.  It entered service in mid 1964 and was designed             to last 15 years.  Its first deep space mission support was for NASA's Mariner 4              spacecraft on its historic first flyby of Mars. Along with other dishes in the Deep              Space Network (DSN), it returned the first close up images of the surface of Mars.                          DSS-42 was originally constructed as a 26-m diameter antenna. To extend its life and              increase its capabilities, the dish was extended to 34-m in the early 1980s.  DSS-42              provided two-way radio communications with many dozens of robotic deep space spacecraft              until its retirement from service in early 2000, well past its original expected design             life.                          Due to some structural weakness and metal fatigue, the antenna was dismantled. The quadrupod             and subreflector structure from inside the dish was retained and moved to a location behind             the Tidbinbilla Visitor Center where it stands today, along with one of its dish panels.                          The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss43_64m,DSS-43 64-m Radio Telescope,,"            This fully steerable telescope is a parabolic reflector radio antenna that is part of             the NASA Deep Space Network.  It was first operational in 1972 with a 64-m aperture. The            aperture was extended to 70-m in 1987 to support the Voyager 2 encounter with Neptune.                        The 64-m antenna could receive at frequencies between about 1.6 and 8.6 GHz in left-circular            polarization (LCP); over 2.0-8.6 GHz it could receive simultaneously in RCP. It could transmit            up to 100 kW at 2.1 GHz (S-band) and up to 20 kW at 7.1 GHz (X-band). Antenna coordinates            were converted from Table 5 in module 301 (revision L) of the DSN Telecommunications Link             Design Handbook (DSN document 810-005).                        The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth             Scientific and Industrial Research Organisation (CSIRO), Australia's national science             research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss43_70m,DSS-43 70-m Radio Telescope,,"            This fully steerable telescope is a parabolic reflector radio antenna that is part of             the NASA Deep Space Network.  It was first operational in 1972 with a 64-m aperture. The            aperture was extended to 70-m in 1987 to support the Voyager 2 encounter with Neptune.                        The antenna can receive at frequencies between about 1.6 and 8.6 GHz in left-circular            polarization (LCP); over 2.0-8.6 GHz it can receive simultaneously in RCP. It can transmit            up to 100 kW at 2.1 GHz (S-band) and up to 20 kW at 7.1 GHz (X-band). Antenna coordinates            were converted from Table 5 in module 301 (revision L) of the DSN Telecommunications Link             Design Handbook (DSN document 810-005).                        The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth             Scientific and Industrial Research Organisation (CSIRO), Australia's national science             research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss45_34m,DSS-45 34-m Radio Telescope,,"             This fully steerable telescope was a dual-shaped reflector radio antenna that was part of the              NASA Deep Space Network.  It was first operational in 1986 with a 34-m aperture and was             decommissioned in October 2016.  When operational, the antenna could receive at frequencies             in the range 2.0-8.6 GHz in right- or left-circular polarization (but not simultaneously).             It could transmit 50-250 W at 2.1 GHz or up to 20 kW at 7.1 GHz. Antenna coordinates were              converted from Table 5 in module 301 (revision L) of the DSN Telecommunications Link Design              Handbook (DSN document 810-005).                           The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:canberra.dss46_26m,DSS-46 Radio Telescope,,"             DSS-46 was used primarily for communication with Earth orbiting spacecraft and for             initial acquisition of any spacecraft immediately after launch. It partnered with             DSS-16 (at Goldstone, CA) and DSS-66 (near Madrid, Spain) in a 26-m subnet for             this purpose.  DSS-46 could transmit 50-2000 W at 2.1 GHz (S-band).  It could receive             right- and left-circularly polarized signals simultaneously at both 2.3 GHz and 8.4 GHz;              its receiver could combine the signals to obtain a rotatable linear polization.                           The antenna was constructed in 1965 at the Honeysuckle Creek Tracking Station in             Australia to support the Apollo missions. On 21 July 1969 (Australian time) the              antenna received and relayed to the world the first television images of Neil              Armstrong's historic first steps on the Moon. The Honeysuckle Creek station was              converted for use in NASA's Deep Space Network after the end of the Apollo and              Skylab programs, with the antenna given the new designation DSS-44. The antenna              supported many missions, including those to Venus, Mars, Jupiter, Saturn and the Sun,             until the closure of the Honeysuckle Creek Tracking Station in December 1981.  In              1983 the antenna was moved to its current location at Tidbinbilla, re-designated              DSS-46 and modified to expand its capabilities for early launch acquisition (tracking             a spacecraft after it has launched from Earth).  The antenna continued to support              NASA and international missions studying the Sun, Earth, Moon and the planets in              our solar system until its retirement from deep space service in December 2009.                          The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
urn:nasa:pds:context:telescope:carbuncle_hill.0m35,0.35m,,"         The 0.35m is a 35 cm telescope located at 41.684556, 288.229389 at the Carbuncle Hill.                  0.35-m f6.5 SCT         ",,
urn:nasa:pds:context:telescope:chuguev.azt8_0m70,70 cm AZT-8,,This is a 70 cm AZT-8 reflecting telescope.,,
urn:nasa:pds:context:telescope:chuguevskaya.0m7,0.7 m,,"         The 0.7 m is a 70 cm telescope located at 49.642944, 36.936889 at the Chuguevskaya Station [121].                  Coordinates from Horizons         ",,
urn:nasa:pds:context:telescope:ctio-cerro_tololo.2mass_1m3,2MASS 1.3m Telescope,,"         The 2MASS 1.3m Telescope is a 1.3 m telescope located at -30.167690, 289.194920 at the Cerro Tololo Inter-American Observatory.                  The 2MASS project was carried out with two identical 1.3-meter aperture, open-tube, equatorial fork-mount telescopes. These telescopes have been provided with a Cassegrain focus mount for the infrared cameras and a secondary mirror, which is articulated in the declination direction.  The telescope described here is the one in the southern hemisphere, at Cerro Tololo Interamerican Observatory.  Primary Mirror: 1300 mm diameter, radius 5200 mm, conic constant -1.000 Secondary Mirror: 232 mm diameter, radius 965.7 mm, conic constant -1.847  The telescopes were designed, manufactured, and installed by M3 Engineering and Technology Corp., Tucson, AZ. The optics were figured by Rayleigh Optical Corp., Baltimore, MD. The telescope control system software was provided by Comsoft, Tucson, AZ. After the completion of the 2MASS data-taking, the University of Massachusetts donated the telescopes to the host observatories.         ",,
urn:nasa:pds:context:telescope:ctio-cerro_tololo.smarts_1m0,1-m Boller &amp; Chivens Ritchey-Chretien reflector,,"         The 1-m Boller &amp; Chivens Ritchey-Chretien reflector is a 1 m telescope located at -30.165222, 289.185608 at the Cerro Tololo Inter-American Observatory.                  Operational 1974+; from Yale Univ. Obs.         ",,
urn:nasa:pds:context:telescope:ctio-cerro_tololo.smarts_1m50,SMARTS 1.5m Telescope,,"             The 1.5-m Ritchey-Chretien Cassegrain reflector is a 1.5 m telescope located at -30.165638, 289.184860 at the Cerro Tololo Inter-American Observatory.                          Operational 11/1967+         ",,
urn:nasa:pds:context:telescope:ctio-cerro_tololo.soar_4m1,SOAR,,"The Southern Astrophysical Research (SOAR) Telescope is a 4.1 meter aperture telescope designed to produce the best quality images of any observatory in its class, across a several arcmin field of view. It can work from 320 nm to the near infrared, and features fast slewing and a suite of optical and infrared instruments mounted and ready for use. It is situated on Cerro Pachón - IV Región - Chile, at 2,700 meters (8,775 feet) above sea level.",,
urn:nasa:pds:context:telescope:ctio-cerro_tololo.victorblanco_4m0,Victor Blanco 4.0m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:dushanbe.rcc,RCC Richey-Chretien Telescope,,"         The RCC Richey-Chretien Telescope is a 1 m telescope located at 38.300000, 69.250000 at the Institute of Astrophysics.                  The RCC 1m telescope at Mt. Sanglok near Dushanbe, Tadzhikistan, is operated by the Institute of Astrophysics of Tadzhikistan.         ",,
urn:nasa:pds:context:telescope:el_leoncito.js2m15,2.15-m Boller &amp; Chivens reflector,,"         The 2.15-m Boller &amp; Chivens reflector is a 2.15 m telescope located at -31.799166, 290.699997 at the El Leoncito Astronomical Complex.                  Operational 02/1986+         ",,
urn:nasa:pds:context:telescope:ensenada.1m5,1.5 m,,"         The 1.5 m is a 1.5 m telescope located at 31.577700, 115.466600 at the National Astronomical Observatory-Ensenada.                  The Instituto de Astronomia at Ensenada, Mexico, operates the 1.5m, f/13.5 Ritchey-Chretien reflector telescope at the Observatorio Astronomico Nacional/San Pedro Martir facility located on the summit of the San Pedro Martir Sierra on the Baja California peninsula of Mexico.  The telescope was installed in 1970.   The 1.5m telescope is located at:       Longitude  :   115.466667 degrees West  (-115deg 28' 00'')   Latitude   :    31.045278 degrees North ( +31deg 02' 43'')   Altitude   :  2790 meters                       This information is provided at the Observatorio Astronomico  Nacional website:     http://www.astrossp.unam.mx/indexspm.html            ",,
urn:nasa:pds:context:telescope:ensenada.2m12,2.12-m Ritchey-Chretien reflector,,"         The 2.12-m Ritchey-Chretien reflector is a 2.12 m telescope located at 31.043888, 244.536949 at the National Astronomical Observatory-Ensenada.                  The Instituto de Astronomia at Ensenada, Mexico, operates the 2.1m,      Ritchey-Chretien reflector telescope at the Observatorio Astronomico Nacional - San Pedro Martir facility located on the summit of the San Pedro Martir Sierra on the Baja California peninsula of Mexico. Built between 1974 and 1979, the telescope features secondaries of f/7.5, f/13.5, or f/30 and has been in operation since July 1979.  The 2.1m telescope is located at:                                                                                                                           Longitude  :   115.463611 degrees West  (-115deg 27' 49'')                 Latitude   :    31.044167 degrees North ( +31deg 02' 39'')                 Altitude   :  2800 meters                 ",,
urn:nasa:pds:context:telescope:eso-chajnantor.alma,Atacama Millimeter/submillimeter Array (ALMA),,"The Atacama Large Millimeter/submillimeter Array, or ALMA, is an international collaboration to operate a telescope of revolutionary design from a site in the foothills of Chile's Andes Mountains. ALMA is composed of 66 high precision antennae, operating at wavelengths of 0.32 to 3.6 mm. Its main 12-meter array has fifty antennae, each measuring 12 meters in diameter, acting together as a single telescope — an interferometer. An additional compact array of four 12-meter and twelve 7-meter antennas complements this. The ALMA antennae can be arranged in different configurations, where the maximum distance between antennae can vary from 150 meters to 16 kilometers. The ALMA correlator, a specialized computer that combines the information received by the antennae, can perform a remarkable 16000 million-million (1.6x1016) operations per second.  ALMA was inaugurated in 2013, but early scientific observations using a partial array already began in 2011.  ALMA is a partnership between ESO (representing its Member States), NSF (USA) and NINS (Japan), together with NRC (Canada), NSC and ASIAA (Taiwan), and KASI (South Korea), in cooperation with the Republic of Chile. The Joint ALMA Observatory is operated by ESO, AUI/NRAO and NAOJ.  Each radio receiver type is sensitive to a particular wavelength range (band), and data can only be taken in one band at a time.  To date, eight out of a planned ten receivers have been installed on each ALMA antenna. These bands range from band 3, starting at wavelengths of 3.6 mm, to band 10, ending at 0.3 mm. Band 1 is under construction (covering wavelengths between 6 and 8.5 millimeters), and band 2 (covering 3.3 to 4.5 millimeters) might be added in the future.  Band 3: Produced by the Herzberg Institute of Astrophysics in Canada. It covers the longest wavelength range of the bands initially installed, between 2.6-3.6 mm (84-116 GHz). Band 4: Developed by National Astronomical Observatory of Japan (NAOJ). It covers a wavelength range of 1.8-2.4 mm (125-163 GHz). Band 5: Developed by the Group for Advanced Receiver Development (GARD) at Onsala Space Observatory, Chalmers University of Technology, Sweden. The production of the 66 receivers for the ALMA observatory was done jointly by GARD and NOVA. It covers a  wavelength range of 1.4-1.8 mm (163-211 GHz). Band 6: Produced by the National Radio Astronomy Observatory (NRAO). It covers the wavelength range of 1.1-1.4 mm (211-275 GHz). Band 7: Delivered by the Institut de Radio Astronomie Millimétrique (IRAM). It covers the wavelength range of 0.8-1.1 mm (275-373 GHz). Band 8: Developed by NAOJ. It covers the wavelength range of 0.6-0.8 mm (385-800 GHz). Band 9: Produced by the Nederlandse Onderzoekschool voor Astronomie (NOVA). It covers the wavelength range 0.4-0.5 mm (602-720 GHz). Band 10: Developed and produced led by NAOJ. It covers the wavelength range 0.3-0.4 mm (787-950 GHz).",,
urn:nasa:pds:context:telescope:eso-la_silla.1m04,ESO-La Silla 1.04m Telescope,,"             The 1-m photometric Cassegrain reflector is a 1 m telescope located at -29.255833, 289.268417 at the European Southern Observatory.                          Operational 1966+         ",,
urn:nasa:pds:context:telescope:eso-la_silla.1m52,1.52-m spectrographic Cassegrain/Coude reflector,,"         The 1.52-m spectrographic Cassegrain/Coude reflector is a 1.52 m telescope located at -29.255028, 289.267975 at the European Southern Observatory.                  Operational 07/1968+         ",,
urn:nasa:pds:context:telescope:eso-la_silla.2m2,ESO-La Silla 2.2m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:eso-la_silla.3m6,ESO-La Silla 3.6m Telescope,,"             The 3.6-m equatorial Cassegrain/Coude reflector is a 3.6 m telescope located at -29.260000, 289.273331 at the European Southern Observatory.                          Operational 1976+         ",,
urn:nasa:pds:context:telescope:eso-la_silla.ntt,New Technology Telescope (NTT),,"         The New Technology Telescope (NTT) is a 3.58 m telescope located at -29.255122, 289.268258 at the European Southern Observatory.                  The ESO New Technology Telescope (NTT) is an Alt-Az, 3.58m Richey-Chretien telescope which pioneered the use of active optics.  The NTT first light happened in 1989.         ",,
urn:nasa:pds:context:telescope:eso-paranal.vlt_antu_8m2_ut1,"Very Large Telescope (VLT) Unit Telescope 1 (UT1) Antu, 8.2-m Telescope",," Unit Telescope 1 (Antu) of the Very Large Telescope (VLT) at ESO's Paranal Observatory, Chile.             The telescope is one of four 8.2-m Ritchey-Chretien Cassegrain telescopes with a 22-tonne Zerdour primary              mirror of 14.4 m focal length, and a 1.1-m lightweight beryllium secondary mirror.                          The unit telescope has alt-azimuth mount. In such a mount the telescope tube moves around a horizontal axis              called elevation axis. The two bearings which support the tube are mounted on a fork rotating around a vertical              axis, called azimuth axis, thus allowing for pointing over the entire sky. The telescope tube itself consists              of a steel structure supporting at the bottom the primary mirror (M1) in its cell, and at the top the M2 Unit              by means of metallic beams called ""spiders"".                          The Very Large Telescope uses active optics.The optical quality of the image is continually monitored by an image              analyser using a reference star and the contributions of the various optical aberrations (defocus, astigmatism,              coma, etc.) are computed. To achieve the best optical quality, discrete correction commands are given to the primary              mirror support system, controlling the shape of the thin flexible M1,and to the M2 Unit, which controls the position              of the M2 mirror along 5 degrees of freedom, namely one for focusing,two for centering, and two for pointing.              The M2 mirror itself is configured as a rigid lightweight convex hyperboloid.                  Information from the ESO telescope website: http://www.eso.org/sci/facilities/paranal/telescopes/ut.html         ",,
urn:nasa:pds:context:telescope:eso-paranal.vlt_kueyen_8m2_ut2,"Very Large Telescope (VLT) Unit Telescope 2 (UT2) Kueyen, 8.2-m Telescope",," Unit Telescope 2 (Kueyen) of the Very Large Telescope (VLT) at ESO's Paranal Observatory, Chile.             The telescope is one of four 8.2-m Ritchey-Chretien Cassegrain telescopes with a 22-tonne Zerdour primary              mirror of 14.4 m focal length, and a 1.1-m lightweight beryllium secondary mirror.                          The unit telescope has alt-azimuth mount. In such a mount the telescope tube moves around a horizontal axis              called elevation axis. The two bearings which support the tube are mounted on a fork rotating around a vertical              axis, called azimuth axis, thus allowing for pointing over the entire sky. The telescope tube itself consists              of a steel structure supporting at the bottom the primary mirror (M1) in its cell, and at the top the M2 Unit              by means of metallic beams called ""spiders"".                          The Very Large Telescope uses active optics.The optical quality of the image is continually monitored by an image              analyser using a reference star and the contributions of the various optical aberrations (defocus, astigmatism,              coma, etc.) are computed. To achieve the best optical quality, discrete correction commands are given to the primary              mirror support system, controlling the shape of the thin flexible M1,and to the M2 Unit, which controls the position              of the M2 mirror along 5 degrees of freedom, namely one for focusing,two for centering, and two for pointing.              The M2 mirror itself is configured as a rigid lightweight convex hyperboloid.                  Information from the ESO telescope website: http://www.eso.org/sci/facilities/paranal/telescopes/ut.html         ",,
urn:nasa:pds:context:telescope:eso-paranal.vlt_melipal_8m2_ut3,"Very Large Telescope (VLT) Unit Telescope 3 (UT3) Melipal, 8.2-m Telescope",," Unit Telescope 3 (Melipal) of the Very Large Telescope (VLT) at ESO's Paranal Observatory, Chile.             The telescope is one of four 8.2-m Ritchey-Chretien Cassegrain telescopes with a 22-tonne Zerdour primary              mirror of 14.4 m focal length, and a 1.1-m lightweight beryllium secondary mirror.                          The unit telescope has alt-azimuth mount. In such a mount the telescope tube moves around a horizontal axis              called elevation axis. The two bearings which support the tube are mounted on a fork rotating around a vertical              axis, called azimuth axis, thus allowing for pointing over the entire sky. The telescope tube itself consists              of a steel structure supporting at the bottom the primary mirror (M1) in its cell, and at the top the M2 Unit              by means of metallic beams called ""spiders"".                          The Very Large Telescope uses active optics.The optical quality of the image is continually monitored by an image              analyser using a reference star and the contributions of the various optical aberrations (defocus, astigmatism,              coma, etc.) are computed. To achieve the best optical quality, discrete correction commands are given to the primary              mirror support system, controlling the shape of the thin flexible M1,and to the M2 Unit, which controls the position              of the M2 mirror along 5 degrees of freedom, namely one for focusing,two for centering, and two for pointing.              The M2 mirror itself is configured as a rigid lightweight convex hyperboloid.                  Information from the ESO telescope website: http://www.eso.org/sci/facilities/paranal/telescopes/ut.html         ",,
